declaration_id,donation_id_transparency,donation_amount,donation_range,donation_type,donation_year,donation_date,donation_origin,recipient_id_transparency,person_id_recipient,recipient_type,recipient_person_entry,recipient_last_name,recipient_name,recipient_party,donor_id_transparency,company_id_transparency,person_id_transparency,donor_type,donor_person_entry,donor_last_name_01,donor_name_01,donor_gender_01,donor_last_name_02,donor_name_02,donor_gender_02,source_name,additional_notes
,DO201901495,"702,90 €","500,00-5.000,00",contribution,2019,29/03/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00228,,,Persona,acheroneugenio,Acheron,Eugenio,M,,,,party_website,
,DO201901375,"623,00 €","500,00-5.000,00",contribution,2019,28/03/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00290,,,Persona,baroccojean,Barocco,Jean,M,,,,party_website,
34567,DO201800171,"5.171,00 €","5.000,01-10.000,00",contribution,2018,,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00609,,,Persona,farcozjoel,Farcoz,Joel,M,,,,joint_declaration,
,DO201900536,"3.000,00 €","500,00-5.000,00",contribution,2019,19/02/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00609,,,Persona,farcozjoel,Farcoz,Joel,M,,,,party_website,
34568,DO201800744,"16.500,00 €","10.000,01-50.000,00",contribution,2018,,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00784,,PE00495,Parlamentare o membro del Governo,laniecealbert,Laniece,Albert,M,,,,joint_declaration,
,DO201902035,"8.000,00 €","5.000,01-10.000,00",contribution,2019,24/04/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00784,,PE00495,Parlamentare o membro del Governo,laniecealbert,Laniece,Albert,M,,,,party_website,
,DO201904060,"8.400,00 €","5.000,01-10.000,00",contribution,2019,17/07/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO00784,,PE00495,Parlamentare o membro del Governo,laniecealbert,Laniece,Albert,M,,,,party_website,
,DO201902696,"500,00 €","500,00-5.000,00",contribution,2019,15/05/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01117,,,Persona,riniemilymarinella,Rini,Emily Marinella,F,,,,party_website,
,DO201900057,"1.000,00 €","500,00-5.000,00",contribution,2019,15/01/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01147,,,Persona,rossetthierry,Rosset,Thierry,M,,,,party_website,
,DO201900389,"800,00 €","500,00-5.000,00",contribution,2019,11/02/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01258,,,Persona,sucquetmarco,Sucquet,Marco,M,,,,party_website,
,DO201900741,"924,49 €","500,00-5.000,00",contribution,2019,28/02/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201901376,"643,72 €","500,00-5.000,00",contribution,2019,28/03/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201902212,"643,72 €","500,00-5.000,00",contribution,2019,30/04/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201902852,"643,72 €","500,00-5.000,00",contribution,2019,28/05/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201903573,"643,72 €","500,00-5.000,00",contribution,2019,28/06/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201904326,"643,72 €","500,00-5.000,00",contribution,2019,30/07/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201904732,"643,72 €","500,00-5.000,00",contribution,2019,28/08/2019,,RE00001,,Partito o movimento politico,,	Union Valdôtaine,,Union Valdôtaine,DO01280,,,Persona,testolinrenzo,Testolin,Renzo,M,,,,party_website,
,DO201904011,"1.000,00 €","500,00-5.000,00",contribution,2019,11/07/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00244,,,Persona,ambrosiniileanaberenice,Ambrosini,Ileana Berenice ,F,,,,party_website,
,DO201903176,"1.000,00 €","500,00-5.000,00",contribution,2019,01/06/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00007,,,Associazione o fondazione,,Associazione radicale Aglietta,,,,,,party_website,
,DO201902543,"1.000,00 €","500,00-5.000,00",contribution,2019,07/05/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00267,,,Persona,autorinoannaalba,Autorino,Anna Alba,F,,,,party_website,
,DO201902545,"1.000,00 €","500,00-5.000,00",contribution,2019,07/05/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00281,,,Persona,banfiemanuelapaola,Banfi,Emanuela Paola,F,,,,party_website,
,DO201902247,"1.000,00 €","500,00-5.000,00",contribution,2019,30/04/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00326,,,Persona,bernonigiuseppearnaldo,Bernoni,Giuseppe Arnaldo,M,,,,party_website,
,DO201901240,"10.000,00 €","5.000,01-10.000,00",contribution,2019,18/03/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00331,,,Persona,bianchimario,Bianchi,Mario,M,,,,party_website,
,DO201902640,"5.000,00 €","500,00-5.000,00",contribution,2019,09/05/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00331,,,Persona,bianchimario,Bianchi,Mario,M,,,,party_website,
,DO201900126,"99.789,00 €","50.000,01-100.000,00",contribution,2019,30/01/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00350,,,Persona,boltontamiko,Bolton,Tamiko,F,,,,party_website,
,DO201902671,"30.000,00 €","10.000,01-50.000,00",contribution,2019,10/05/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00357,,PE00107,Parlamentare o membro del Governo,boninoemma,Bonino,Emma,F,,,,party_website,
,DO201904568,"8.850,00 €","5.000,01-10.000,00",contribution,2019,02/08/2019,,RE00002,,Partito o movimento politico,,+Europa,,+Europa,DO00357,,PE00107,Parlamentare o membro del Governo,boninoemma,Bonino,Emma,F,,,,party_website,
