declaration_id,donation_id_transparency,donation_amount,donation_range,,donation_type,donation_year,donation_date,donation_origin,recipient_id_transparency,person_id_recipient,recipient_type,recipient_person_entry,recipient_last_name,recipient_name,recipient_party,donor_id_transparency,company_id_transparency,person_id_transparency,donor_type,donor_person_entry,donor_last_name_01,donor_name_01,donor_gender_01,donor_last_name_02,donor_name_02,donor_gender_02,source_name,additional_notes,record_date_of_entry
34357,DO201800001,30000,"10.000,01-50.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO00696,,,Persona,gassernorbert,Gasser,Norbert,M,Klotzner,Margaret,F,joint_declaration,,
33252,DO201800002,10000,"5.000,01-10.000,00",,contribution,2018,,,RE00028,PE00026,Parlamentare o membro del Governo,apreavalentina,Aprea,Valentina,Forza Italia,DO01242,,,Persona,spornnatasia,Sporn,Natasia,F,Melodia,Piero Maria,M,joint_declaration,,
34131,DO201800003,7500,"5.000,01-10.000,00",,contribution,2018,,,RE00018,,Partito o movimento politico,,Unione di Centro,,Unione di Centro,DO00360,,,Persona,bonsignorevito,Bonsignore,Vito,M,Spallone,Maria Giuseppa,F,joint_declaration,,
34202,DO201800004,10000,"5.000,01-10.000,00",,contribution,2018,,,RE00033,PE00078,Parlamentare o membro del Governo,bersanipierluigi,Bersani,Pier Luigi,Liberi e Uguali,DO01379,,,Persona,zoggiadavide,Zoggia,Davide,M,Tedesco,Alessandra,F,joint_declaration,,
32106,DO201800005,5000,"500,00-5.000,00",,contribution,2018,,,RE00075,PE00598,Parlamentare o membro del Governo,miglioregennaro,Migliore,Gennaro,Partito Democratico,DO00878,,,Persona,marziariedoardo,Marziari,Edoardo,M,Tommasini,Bruno,M,joint_declaration,,
33642,DO201800010,500,"500,00-5.000,00",,contribution,2018,,,RE00050,PE00290,Parlamentare o membro del Governo,demichelipaola,De Micheli,Paola,Partito Democratico,DO00005,,,"Associazione, fondazione o comitato",,Associazione Energie Libere - Piacenza,,,,,,joint_declaration,,
33969,DO201800011,500,"500,00-5.000,00",,contribution,2018,,,RE00045,PE00207,Parlamentare o membro del Governo,centinaiogianmarco,Centinaio,Gian Marco,Lega,DO00019,,,Società o professionista,,A.P. di Palladini Gianluca e F.lli snc,,,,,,joint_declaration,,
35301,DO201800012,500,"500,00-5.000,00",,contribution,2018,,,RE00009,,Partito o movimento politico,,Lega,,Lega,DO00288,,,Persona,bargistefano,Bargi,Stefano,M,,,,joint_declaration,,
34216,DO201800013,600,"500,00-5.000,00",,contribution,2018,,,RE00100,PE00903,Parlamentare o membro del Governo,toccafondigabriele,Toccafondi,Gabriele,Alternativa Popolare,DO00175,,,Società o professionista,,SG Plus Ghiretti & Partners srl,,,,,,joint_declaration,,
34633,DO201800014,"679,47","500,00-5.000,00",,contribution,2018,,,RE00017,,Partito o movimento politico,,Südtiroler Volkspartei,,Südtiroler Volkspartei,DO01276,,,Persona,telsermartin,Telser,Martin,M,,,,joint_declaration,,
