private_interest_id,company_id_openpolis,company_id_transparency,person_id_openpolis,person_id_transparency,company_name,company_vat,company_type,company_headquarter_address,company_headquarter_municipality,company_headquarter_province,company_sector_description,company_transparency_sector,company_turnover_range,company_employees_range,person_company_role,person_company_role_starting_date,person_company_share_%
PI00031,90467,CO00025,819597,PE00206,MAGNAGHI AERONAUTICA S.P.A.,,Società per azioni,"Via Galileo Ferraris, 76/80",Napoli,NA,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca",Aerospaziale,Tra 10.000.000 e 50.000.000 euro,Più di 250,Sindaco supplente - terminato,43213,
PI00254,96498,CO00180,494583,PE00725,LAURETANA S.P.A.,,Società per azioni,"Localita' Santuario, 56",Graglia,BI,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",Agroalimentare,Tra 10.000.000 e 50.000.000 euro,Da 51 a 250,Sindaco supplente,38105,
PI00369,130870,CO00250,500229,PE00075,PORRO CERVERE S.R.L.,,Società a responsabilità limitata,"Via Cambiani, 14",Savigliano,CN,Commercio all'ingrosso di frutta e ortaggi freschi,Agroalimentare,Dato non disponibile,Dato non disponibile,Amministratore unico,44043,
PI00311,104010,CO00239,867594,PE00988,TORRE DI MEZZO OP SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,,Società consortile,"Contrada Cammarata, 87",Castrovillari,CS,Commercio all'ingrosso di frutta e ortaggi freschi,Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 51 a 250,Consigliere,41536,
PI00314,104008,CO00240,867594,PE00988,TORRE DI MEZZO SOCIETA' AGRICOLA SRL MILK PRODUCTION,,Società a responsabilità limitata con un unico socio,"Contrada Cammarata, 87/A",Castrovillari,CS,"Allevamento di bovini e bufale da latte, produzione di latte crudo",Agroalimentare,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Azionista,,100
PI00312,104008,CO00240,867594,PE00988,TORRE DI MEZZO SOCIETA' AGRICOLA SRL MILK PRODUCTION,,Società a responsabilità limitata con un unico socio,"Contrada Cammarata, 87/A",Castrovillari,CS,"Allevamento di bovini e bufale da latte, produzione di latte crudo",Agroalimentare,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Amministratore unico,39714,
PI00313,104008,CO00240,867594,PE00988,TORRE DI MEZZO SOCIETA' AGRICOLA SRL MILK PRODUCTION,,Società a responsabilità limitata con un unico socio,"Contrada Cammarata, 87/A",Castrovillari,CS,"Allevamento di bovini e bufale da latte, produzione di latte crudo",Agroalimentare,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Socio,39721,
PI00168,96402,CO00115,818984,PE00247,LA CORSA SOCIETA' AGRICOLA S.R.L.,,Società a responsabilità limitata,"Strada Del Prataccione, 19",Orbetello,GR,Coltivazione di uva,Agroalimentare,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Azionista,,50
PI00215,96459,CO00150,569307,PE00221,CAPALBIOFATTORIA SOCIETA' AGRICOLA S.R.L.,,Società a responsabilità limitata,"Localita' Fontanile Dei Caprai, SNC, 58011",Capalbio,GR,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,20
PI00214,96459,CO00150,569307,PE00221,CAPALBIOFATTORIA SOCIETA' AGRICOLA S.R.L.,,Società a responsabilità limitata,"Localita' Fontanile Dei Caprai, SNC",Capalbio,GR,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Amministratore unico,38343,
PI00191,96436,CO00133,819521,PE00795,FRATELLI BRANCA DISTILLERIE S.R.L.,,Società a responsabilità limitata,"Via Broletto, 35",Milano,MI,"Distillazione, rettifica e miscelatura degli alcolici",Agroalimentare,Maggiore di 50.000.000 euro,Da 51 a 250,Consigliere,38484,
