private_interest_id,company_id_openpolis,company_id_transparency,person_id_openpolis,person_id_transparency,company_name,company_vat,company_type,company_headquarter_address,company_headquarter_municipality,company_headquarter_province,company_sector_description,company_transparency_sector,company_turnover_range,company_employees_range,person_company_role,person_company_role_starting_date,person_company_share_%
PI00308,103978,CO00236,646831,PE00880,SAN VALENTINO DI STEFANI GIOVANNI S.A.S. DI DOARDO ENRICA & C.,,Società in accomandita semplice,"Via Stazione, 1, 36070",Trissino,VI,Produzione di carne non di volatili e di prodotti della macellazione (Attività dei mattatoi),Agroalimentare,Dato non disponibile,Da 11 a 50,Socio accomandante,26/07/2019,
PI00410,135629,CO00352,855529,PE01093,"CANTINE PALAZZO SOCIETA' COOPERATIVA PIU' BREVEMENTE ""CA.PA. S.C.""",,Società cooperativa diversa,"Via Del Ponte, 31, 38123","Ravina, Trento",TN,Coltivazione di uva,Agroalimentare,Dato non disponibile,Dato non disponibile,Consigliere,28/09/2020,
PI00411,81703,CO00279,855529,PE01093,CANTINA DI LA-VIS E VALLE DI CEMBRA S.C.A.,,Società cooperativa diversa,"Via Del Carmine, 7, 38015",Lavis,TN,Coltivazione di uva,Agroalimentare,Tra 10.000.000 e 50.000.000 euro,Da 51 a 250,Consigliere,16/04/2016,
PI00412,81703,CO00279,855529,PE01093,CANTINA DI LA-VIS E VALLE DI CEMBRA S.C.A.,,Società cooperativa diversa,"Via Del Carmine, 7, 38015",Lavis,TN,Coltivazione di uva,Agroalimentare,Tra 10.000.000 e 50.000.000 euro,Da 51 a 250,Presidente del consiglio di amministrazione,16/04/2016,
PI00369,130870,CO00250,500229,PE00075,PORRO CERVERE S.R.L.,,Società a responsabilità limitata,"Via Cambiani, 14, 12038",Savigliano,CN,Commercio all'ingrosso di frutta e ortaggi freschi,Agroalimentare,Dato non disponibile,Dato non disponibile,Amministratore unico,31/07/2020,
PI00417,135626,CO00349,958503,PE01089,MUURGIA S.R.L.,,Società a responsabilità limitata,"Via Peppino Impastato, 10, 70029",Santeramo in Colle,BA,Commercio al dettaglio di carni e di prodotti a base di carne,Agroalimentare,Dato non disponibile,Dato non disponibile,Amministratore,16/03/2015,
PI00426,103972,CO00293,862807,PE01057,SOCIETA' AGRICOLA DONIGA SRL,,Società a responsabilità limitata,"Via Lorenzo Cariglia, 12, 71122",Foggia,FG,COLTIVAZIONE DI COLTURE PERMANENTI,Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Consigliere,09/05/2013,
PI00427,103972,CO00293,862807,PE01057,SOCIETA' AGRICOLA DONIGA SRL,,Società a responsabilità limitata,"Via Lorenzo Cariglia, 12, 71122",Foggia,FG,COLTIVAZIONE DI COLTURE PERMANENTI,Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Presidente del consiglio di amministrazione,20/03/2015,
PI00431,135636,CO00359,898838,PE01293,CANTINA SOCIALE CESANESE DEL PIGLIO SOCIETA' COOPERATIVA AGRICOLA,,Società cooperativa diversa,"Via Prenestina, 03010",Piglio,FR,Coltivazione di uva,Agroalimentare,Dato non disponibile,Dato non disponibile,Consigliere,13/05/2012,
PI00382,131556,CO00258,819597,PE00206,KOLINPHARMA S.P.A.,,Società per azioni,"Via Larga, 8, 20122",Milano,MI,Produzione di preparati omogeneizzati e di alimenti dietetici,Agroalimentare,Tra 2.000.000 e 10.000.000 euro,Da 51 a 250,Sindaco effettivo,29/04/2020,
PI00480,135617,CO00340,607505,PE01125,SOCIETA' COOPERATIVA PER AZIONI CASEIFICIO SOCIALE RINASCENTE COO PERATIVA AGRICOLA A MUTUALITA' PREVALENTE,,Società cooperativa diversa,"Via Offlaga, 5/A, 25021",Bagnolo Mella,BS,Produzione dei derivati del latte,Agroalimentare,Dato non disponibile,Dato non disponibile,Presidente del collegio sindacale,18/07/2007,
PI00484,135613,CO00336,607505,PE01125,CONSORZIO COOPERATIVO PRODUTTORI LATTE TORRE PALLAVICINA E PUMENE NGO - SOCIETA' COOPERATIVA AGRICOLA,,Società cooperativa diversa,"Via Sante Giulie, 50, 24050",Torre Pallavicina,BG,"Allevamento di bovini e bufale da latte, produzione di latte crudo",Agroalimentare,Dato non disponibile,Dato non disponibile,Sindaco effettivo,15/12/2004,
PI00309,103978,CO00236,646831,PE00880,SAN VALENTINO DI STEFANI GIOVANNI S.A.S. DI DOARDO ENRICA & C.,,Società in accomandita semplice,"Via Stazione, 1, 36070",Trissino,VI,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),Agroalimentare,Dato non disponibile,Da 11 a 50,Azionista,,24.00
PI00168,96402,CO00115,818984,PE00247,LA CORSA SOCIETA' AGRICOLA S.R.L.,,Società a responsabilità limitata,"Strada Del Prataccione, 19, 58015",Orbetello,GR,Coltivazione di uva,Agroalimentare,Tra 250.000 e 2.000.000 euro,Da 3 a 10,Azionista,,50.00
PI00499,135626,CO00349,958503,PE01089,MUURGIA S.R.L.,,Società a responsabilità limitata,"Via Peppino Impastato, 10, 70029",Santeramo in Colle,BA,Commercio al dettaglio di carni e di prodotti a base di carne,Agroalimentare,Dato non disponibile,Dato non disponibile,Azionista,,11.11
PI00501,103972,CO00293,862807,PE01057,SOCIETA' AGRICOLA DONIGA SRL,,Società a responsabilità limitata,"Via Lorenzo Cariglia, 12, 71122",Foggia,FG,COLTIVAZIONE DI COLTURE PERMANENTI,Agroalimentare,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,60.00
PI00391,131688,CO00263,501176,PE00917,LEONESSA SALUMI TIPICI SRLS,,Società a responsabilità limitata,"Corso San Giuseppe, 163, 02016",Leonessa,RI,Produzione di prodotti a base di carne (inclusa la carne di volatili),Agroalimentare,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,20.00
PI00409,135630,CO00353,855529,PE01093,"CONSORZIO VOLONTARIO PER LA TUTELA DEI VINI DOC ""DELLE VENEZIE"" IN SIGLA: CONSORZIO TUTELA DOC DELLE VENEZIE",,Società consortile,"Via Pallone, 20, 37121",Verona,VR,Attività per la tutela di beni di produzione controllata,Altro,Dato non disponibile,Dato non disponibile,Consigliere,22/02/2019,
PI00413,91922,CO00284,855529,PE01093,VINI DEL TRENTINO,,Società consortile,"Via Del Suffragio, 3, 38122",Trento,TN,Attività per la tutela di beni di produzione controllata,Altro,Minore o uguale a 250.000 euro,Da 3 a 10,Consigliere,24/02/2017,
PI00414,91922,CO00284,855529,PE01093,VINI DEL TRENTINO,,Società consortile,"Via Del Suffragio, 3, 38122",Trento,TN,Attività per la tutela di beni di produzione controllata,Altro,Minore o uguale a 250.000 euro,Da 3 a 10,Presidente del consiglio di amministrazione,26/02/2019,
PI00433,96639,CO00289,819521,PE00795,IL TEATRO MANZONI - S.P.A.,,Società per azioni,"Via Alessandro Manzoni, 42, 20121",Milano,MI,"Gestione di teatri, sale da concerto e altre strutture artistiche",Altro,Tra 2.000.000 e 10.000.000 euro,Da 11 a 50,Consigliere,28/04/2021,
PI00476,108714,CO00296,849688,PE01162,MEDICAL INSTRUMENTS S.R.L.,,Società a responsabilità limitata con un unico socio,"Via Aldo Moro, 12, 25124",Brescia,BS,Noleggio senza operatore di altre macchine ed attrezzature nca,Altro,Tra 250.000 e 2.000.000 euro,Fino a 2,Socio,13/03/2002,
PI00481,135616,CO00339,607505,PE01125,ANDROPOLIS - IMPRESA SOCIALE- SOCIETA' COOPERATIVA SOCIALE ETS IN BREVE ANDROPOLIS COOPERATIVA SOCIALE - ETS,,Società cooperativa diversa,"Via Artigiani, 85, 25063",Gardone Val Trompia,BS,ATTIVITÀ DI PULIZIA E DISINFESTAZIONE,Altro,Dato non disponibile,Dato non disponibile,Presidente del collegio sindacale,07/09/2022,
PI00399,131547,CO00260,819575,PE00139,LAB MANAGEMENT & CONSULTING S.R.L. IN BREVE LAB M&C - S.R.L.,,Società a responsabilità limitata,"Via Aurelio Bianchi Giovini, 3, 22100",Como,CO,Ricerche di mercato e sondaggi di opinione,Altro,Minore o uguale a 250.000 euro,Fino a 2,Azionista,,66.67
PI00489,135620,CO00343,960882,PE01072,SOCIETA' NAZIONALE APPALTI MANUTENZIONI LAZIO SUD S.N.A.M. SOCIET A' A RESPONSABILITA LIMITATA,,Società a responsabilità limitata,"Viale Di Porta Ardeatina, 1, 00179",Roma,RM,ATTIVITÀ DI PULIZIA E DISINFESTAZIONE,Altro,Dato non disponibile,Dato non disponibile,Azionista,,50.00
PI00490,135619,CO00342,960882,PE01072,LINDA S.R.L. - SOCIETA A RESPONSABILITA LIMITATA,,Società a responsabilità limitata,"Via Appia Antica, 2, 00179",Roma,RM,ATTIVITÀ DI PULIZIA E DISINFESTAZIONE,Altro,Dato non disponibile,Dato non disponibile,Azionista,,50.00
PI00531,108714,CO00296,849688,PE01162,MEDICAL INSTRUMENTS S.R.L.,,Società a responsabilità limitata con un unico socio,"Via Aldo Moro, 12, 25124",Brescia,BS,Noleggio senza operatore di altre macchine ed attrezzature nca,Altro,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,100.00
PI00422,25503,CO00277,858921,PE01063,PIEMMETI - PROMOZIONE MANIFESTAZIONI TECNICHE - S.P.A.,,Società per azioni,"VIALE DEL LAVORO, 8 - 37135",Verona,VR,Organizzazione di convegni e fiere,Comunicazione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Consigliere,10/05/2022,
PI00423,25503,CO00277,858921,PE01063,PIEMMETI - PROMOZIONE MANIFESTAZIONI TECNICHE - S.P.A.,,Società per azioni,"VIALE DEL LAVORO, 8 - 37135",Verona,VR,Organizzazione di convegni e fiere,Comunicazione,Tra 2.000.000 e 10.000.000 euro,Da 3 a 10,Vice Presidente del consiglio di amministrazione,10/05/2022,
PI00209,96455,CO00146,536084,PE00972,BE PROUD S.R.L.,,Società a responsabilità limitata,"Galleria Delle Porte Contarine, 4, 35137",Padova,PD,Organizzazione di convegni e fiere,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Amministratore unico,09/04/2015,
PI00435,135631,CO00354,499308,PE01283,MAGNAGRECIA LAB S.R.L. SOCIETA' BENEFIT,,Società a responsabilità limitata,"Piazza Di San Lorenzo In Lucina, 26, 00186",Roma,RM,Organizzazione di feste e cerimonie,Comunicazione,Dato non disponibile,Dato non disponibile,Consigliere,20/05/2020,
PI00441,30466,CO00278,521590,PE01242,AGENZIA DI SVILUPPO MILANO METROPOLI S.P.A. IN LIQUIDAZIONE,,Società per azioni,"VIA VIVAIO, 1 - 20122",Milano,MI,Pubbliche relazioni e comunicazione,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Direttore generale,15/12/2010,
PI00492,97222,CO00290,504545,PE00420,VISIBILIA CONCESSIONARIA S.R.L.,,Società a responsabilità limitata,"Via Pompeo Litta, 9, 20122",Milano,MI,attività delle concessionarie e degli altri intermediari di servizi pubblicitari,Comunicazione,Dato non disponibile,Da 3 a 10,Azionista,,0.01
PI00199,96442,CO00139,504545,PE00420,VISIBILIA S.R.L.,,Società a responsabilità limitata,"Via Pompeo Litta, 9, 20122",Milano,MI,attività delle concessionarie e degli altri intermediari di servizi pubblicitari,Comunicazione,Tra 10.000.000 e 50.000.000 euro,Fino a 2,Azionista,,95.00
PI00106,96358,CO00081,497048,PE00114,CINQUEVIE S.R.L.,,Società a responsabilità limitata,"Piazza Della Conciliazione, 5, 20123",Milano,MI,Organizzazione di convegni e fiere,Comunicazione,Minore o uguale a 250.000 euro,Da 3 a 10,Azionista,,10.00
PI00497,100021,CO00292,499643,PE01090,TELEUROPA S.R.L.,,Società a responsabilità limitata,"Contrada Cutura, 87036, Rende ",Rende,CS,Programmazione e trasmissioni televisive,Comunicazione,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Azionista,,4.41
PI00210,96455,CO00146,536084,PE00972,BE PROUD S.R.L.,,Società a responsabilità limitata,"Galleria Delle Porte Contarine, 4, 35137",Padova,PD,Organizzazione di convegni e fiere,Comunicazione,Tra 250.000 e 2.000.000 euro,Fino a 2,Azionista,,52.00
PI00541,135255,CO00311,500218,PE01324,C S C & Partners Srl In Liquidazione,,Società a responsabilità limitata,"Piazza Dell'Emporio, 11, 00153",Roma,RM,Pubbliche relazioni e comunicazione,Comunicazione,Dato non disponibile,Dato non disponibile,Azionista,,50.00
PI00416,133638,CO00309,498660,PE01114,MASTER S.R.L.,,Società a responsabilità limitata,"Via Servi Di Maria, 16, 30172","Mestre, Venezia",VE,Altre Attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,Consulenza,Tra 250.000 e 2.000.000 euro,Da 11 a 50,Consigliere,15/02/2019,
